(кроме средств железнодорожного транспорта)",владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
124,484,  МЕДСТРАХ,Москва,588,0,0,0,0,0,588,588,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,141,  МЕДЭКСПРЕСС,Санкт-Петербург,52894,0,0,0,0,0,52505,52252,125,0,0,52127,253,251,246,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,389,389,0,0,0
126,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,2755,7,0,0,0,0,2755,2741,2004,0,0,737,14,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
127,1461,  МЕСКО,Москва,3941,0,0,0,0,0,3941,2879,8,0,0,2871,1062,303,0,0,0,0,0,0,0,1,302,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,752,0,0,0,0,0,0,0,0
128,3256,  МЕТЛАЙФ,Москва,628027,0,7582,7581,6685,1,620445,620445,4955,0,0,615490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,166,  МИЛОСЕРДИЕ И БЛАГОПОЛУЧИЕ,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4349,  МОВС,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2950,  МОСКВА-ВОЛГА,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2290,  МОСКОВИЯ,Москва,10489,98,0,0,0,0,511,332,225,0,0,107,179,161,148,0,0,0,9,0,0,1,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,16,0,0,0,9978,9978,0,0,0
133,3128,  МСК АЙАЙСИ,Москва,19,0,0,0,0,0,19,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
