"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",490988360817.4077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1904117256.2798,476238811.56633,13229366.8885,29633900,0,46819422.37514,0,386556122.30269,1427878444.71347,84522358.9465,242655051.84287,1100701033.9241,1466449457.12791,1182069359.71988,210160061.15371,210160061.15371,0,31394.79166,8225082.89292,19394605.00198,0,19394605.00198,278913281.97986,26351,0,0,0,0,0,26351,0,0,26351,0,380620849.31845,11364250.65131,138301558.29222,230955040.37492,284697733.5813,47657488.08886,5743562.6858,231296682.80664,271617765.68824,495350,495350,0,0,0,147649180.41564,81580237.27089,372505.138,81207732.13289,3773263.81795,100000,0,3673263.81795,548704.09554,1000,547704.09554,37452369.8987,21418080.75818,0,321800,0,15712489.14052,118660.18952,0,0,0,0,0,0,0,103000,15660.18952,5312428.18664,7449903.53315,8176.4592,0,7441727.07395,,,,,,,,,0,46020000,32742500,797500,3580000,8900000,487571774104,20183581607,0,20183581607,0,0,0,6675152,2648363520,2632147232,16216288,361286208758,22482563664,22927896288,14987072320,300888676486,56643201686,46803743381,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",38750925.49029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3444500,2780000,0,2780000,0,0,0,0,664500,0,0,664500,35306425.49029,23977525.49029,23756025.49029,23756025.49029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221500,0,0,221500,0,0,0,0,11328900,11328900,11328900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",73690581733.56796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,71122667.492,45303561,0,44071445,0,659504,0,572612,25819106.492,0,5952706.492,19866400,182212014.07596,167768393.81533,13800,13800,0,792370,3600,0,0,0,24546199.93852,0,0,0,0,0,0,0,0,0,0,0,138488541.94709,0,122157122.67269,16331419.2744,3923881.92972,3890674.74272,31707.187,1500,14356174.26063,0,0,0,0,0,20350,100753.7,0,100753.7,0,0,0,0,674900,0,674900,13424075.06063,11630197.06063,0,0,0,1793878,136095.5,0,0,120000,0,0,0,0,0,16095.5,0,87446,0,0,87446,,,,,,,,,0,9127500,6550000,217500,90000,2270000,73428119552,0,0,0,0,0,0,983040,0,0,0,73427136512,2404388864,2973679616,949698560,67099369472,0,0,0
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",3775000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3775000,0,0,0,0,0,0,0,3775000,0,0,3775000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",720752211.31209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,12222297.5598,6245571.24524,0,0,0,501921.9178,0,5743649.32744,5976726.31456,813536.1535,5062378.71106,100811.45,708164913.75229,516836878.37107,1491046.8135,1491046.8135,0,0,0,984287,984287,0,501876545.5403,0,0,0,0,0,0,0,0,0,0,0,5073642.00725,0,0,5073642.00725,7411357.01002,5000,0,7406357.01002,191306903.38122,122705.2,122705.2,0,0,0,0,187885164.4,187885164.4,0,2000,0,0,2000,87000,0,87000,3210033.78122,0,0,0,0,3210033.78122,0,0,0,0,0,0,0,0,0,0,0,21132,0,0,21132,,,,,,,,,0,365000,295000,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",2543884952.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,968285868.167,22237354.174,0,0,0,18039536.65,0,4197817.524,946048513.993,906541621.93,39506892.063,0,1575599084.108,1277295035.27,0,0,0,0,13091928.327,351224106.709,351224106.709,0,2730164.021,0,0,0,0,0,0,0,0,0,0,0,869608292.611,0,0,869608292.611,40640543.602,0,0,40640543.602,210956937.053,0,0,0,0,0,0,0,0,0,12414000,12414000,0,0,0,0,0,198542937.053,0,0,0,0,198542937.053,0,0,0,0,0,0,0,0,0,0,71711801.849,15635309.936,14364543.035,0,1270766.901,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",707519062.0255799,667609116.74137,667609116.74137,662107653.16401,23935824.60228,19019255.32562,4818145.8714,0,0,98423.40526,620168052.41508,46772745.56917,263763403.26059,274901896.95737,34730006.62795,0,18003776.14665,1308074,11659542.89971,4978080.58756,0,58078.65938,0,0,0,0,0,0,0,0,0,0,0,0,5501463.57736,0,,,0,,0,0,0,0,0,0,0,5501463.57736,0,290281.7585,4885655.19914,288359.44472,37167.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,39909945.28421,37190163.60337,0,0,0,0,0,37190163.60337,2719781.68084,0,0,2719781.68084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",393329301.49691004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,372455321.12291,372455321.12291,0,0,0,0,0,372455321.12291,0,0,0,0,20873980.374,8408684.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.99,0,0,64.99,8408620,0,0,8408620,3116835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116835,0,0,0,0,3116835,0,0,0,0,0,0,0,0,0,0,0,9348460.384,0,0,9348460.384,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",63063070.254769996,33788466.45077,33788466.45077,32109029.33456,1243600.308,0,3866.5,1239733.808,0,0,27695147.19456,7324355.77152,5861221.83334,10932883.55223,3496618.25947,80067.778,734471.832,300.001,727342.787,6829.044,0,0,2435810,2363500,70000,2250,0,60,0,0,0,0,0,0,1679437.11621,0,,,0,,0,0,0,0,0,0,0,1333437.11621,0,789142.685,521579.99552,19698.15969,3016.276,346000,29400,0,300550,0,16050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,29274603.804,17637.654,0,0,0,0,0,17637.654,29256966.15,0,0,29256966.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",7873364.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,7873364.452,0,0,0,0,0,0,0,7873364.452,0,0,7873364.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",27023668.582000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,7947473.254,6030000,0,0,0,0,0,6030000,1917473.254,0,10973.254,1906500,19076195.328,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,800,19075395.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19075395.328,0,0,0,0,0,0,0,0,19075395.328,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",47443802.159,24536656.901,7419291.704,5301885.1,0,0,0,0,0,0,0,0,0,0,0,0,7465.1,0,0,1635.3,5829.8,0,5294420,5294420,0,0,0,0,0,0,0,0,0,0,2117406.604,0,,,0,,0,0,0,0,0,0,0,1074456.604,0,0,890985.467,183471.137,0,1042950,0,0,1042950,0,0,0,0,0,0,0,0,17117365.197,2891.9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2891.9,,0,,0,2891.9,17114473.297,0,,0,0,0,0,0,,,,0,,15601404.777,0,0,0,3123808.008,12477596.769,0,0,,0,0,0,1513068.52,,0,0,0,1513068.52,2232023.583,3816.27,,0,0,31,3785.27,2228207.313,,0,0,0,2228207.313,20675121.675,17707721.675,0,0,0,0,0,17707721.675,2967400,0,0,2967400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",22780016758.027,22758934587.102,22742708860.0016,506248246.90051,0,0,0,0,0,0,401273232.99251,59110367.88238,1407028.00033,335628462.68598,5127374.42382,0,104975013.908,0,2411383.256,31015143.636,61354848.991,10193638.025,0,0,0,0,0,0,0,0,0,0,0,0,22236460613.1011,0,,,0,,0,21982340947.5943,14143742.6726,29188094.0942,180726199.60278,1492423344.08429,20265859567.1405,254119665.50675,16380.674,21763.478,13634440.149,72814027.09503,167633054.11072,0,0,0,0,0,0,0,0,0,0,0,0,16225727.10036,10845706.45536,25117.48178,0,0,16796.05539,0,8321.42639,0,0,0,0,0,,10820588.97358,0,2289411.8526,7163168.98595,1304561.98803,63446.147,0,0,0,0,0,0,0,,0,,0,0,5380020.645,0,,0,0,0,0,0,,,,0,,5380020.645,0,0,0,1453993.102,3926027.543,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,21082170.925,20952336,0,0,0,0,0,20952336,129834.925,0,0,129834.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",211444044.54033,34372801.45145,34372801.45145,34372801.45145,0,0,0,0,0,0,23097082.94957,23097082.94957,0,0,0,0,15944.25262,0,15944.25262,0,0,0,11039169.53,199364.13788,1471428.81376,9102776.07836,265600.5,0,220604.71926,220064.64051,540.07875,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,177071243.08888,64901958.54888,311945.056,0,0,0,0,64590013.49288,112169284.54,34375774.54,70340,77723170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",31669208.03147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1716504.28534,1716504.28534,55651.316,0,0,220215.8758,0,1440637.09354,0,0,0,0,29952703.74613,5825937.98039,4290749.60256,4290749.60256,0,0,0,0,0,0,126038.50985,0,0,0,0,0,0,0,0,0,0,0,1077393.06,0,2000,1075393.06,331756.80798,2721.39409,0,329035.41389,23960239.37703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23689239.37703,2000,0,8000,0,23679239.37703,271000,0,0,0,0,0,0,0,271000,0,0,166526.38871,0,0,166526.38871,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",149044743.73573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,5097846.561,237520,0,150,0,67370,0,170000,4860326.561,1026729.961,3139525,694071.6,143946897.17473,15375965.39508,129265.7,129265.7,0,0,0,0,0,0,10503657.26793,0,0,0,0,0,0,0,0,0,0,0,4470812.42739,800,1520814.97528,2949197.45211,272229.99976,177194.36,94830.63976,205,125662505.17408,63500,63500,0,0,0,0,0,0,0,0,0,0,0,300,300,0,124557162.7584,107077650,0,0,0,17479512.7584,1041542.41568,0,0,0,0,0,0,0,0,1041542.41568,0,2908426.60557,0,0,2908426.60557,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",11263111.05222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3760,3760,0,0,0,0,0,3760,0,0,0,0,11259351.05222,8455086.42469,0,0,0,0,0,0,0,0,4817273,0,0,0,0,0,0,0,0,0,0,0,3637813.42469,0,0,3637813.42469,0,0,0,0,2725944.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2725944.83,51515,0,0,0,2674429.83,0,0,0,0,0,0,0,0,0,0,0,78319.79753,0,0,78319.79753,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",5274647.17992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5274647.17992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051267.5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582000,582000,0,0,0,0,469267.5253,0,0,0,0,0,0,0,0,469267.5253,0,4223379.65462,0,0,4223379.65462,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
