1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
155,3879,"ООО СК ""Росгосстрах Жизнь""",Москва,58142590.36371,4185200.60333,2260609.15877,2260609.15877,0,0,55881981.20494,55881981.20494,55446129.5376,0,0,435851.66734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4331,"ООО СК ""Сбербанк страхование""",Москва,3297878808.02163,0,0,0,0,0,3297878808.02163,2005188366.6545,4214401.44,0,0,2000973965.2145,1292690441.36713,888793069.8737,0,46641.55,0,0,454203.37603,436068.33548,0,104930483.32985,782925673.28234,164121903.30633,0,0,0,0,0,0,0,0,164121903.30633,0,1255598.108,238519870.0791,0,0,0,0,0,0,0
157,3511,"ООО СК ""Согласие-Вита""",Москва,8999846.94073,21000,8706074.43673,8706074.43673,8136898.86543,0,293772.504,293772.504,293772.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1623,"ООО СК ""Тюмень-Полис""",Тюмень,12198775.37701,0,0,0,0,0,12198775.37701,4483503.28297,4483503.28297,0,0,0,7715272.09404,4892357.8119,96702.939,0,0,0,0,0,0,139779.01962,4655875.85328,1350,0,0,0,0,0,0,0,0,1350,0,0,2821564.28214,0,0,0,0,0,0,0
159,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,134741889.46639,0,0,0,0,0,134741889.46639,27358509.74284,13196534.2247,0,0,14161975.51814,107383379.72355,98296352.81715,109225.50869,0,0,0,63730381.2398,0,0,5491724.29883,28965021.76983,8879871.37755,0,0,0,0,0,0,89863.02003,0,8710008.35752,80000,0,207155.52885,0,0,0,0,0,0,0
160,4001,"ООО СК ""Чулпан-Жизнь""",Альметьевск,233985.034,0,137435.634,137275.634,0,160,96549.4,96549.4,96549.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,3543,"ООО СК ""Экип""",Москва,1658146.5417,0,0,0,0,0,1658146.5417,122634.51601,103644.116,0,0,18990.40001,1535512.02569,1353439.47569,966782.166,0,0,0,79814.3915,0,0,94542.92319,212299.995,182072.55,86501.75,86501.75,0,0,0,0,0,5000,90570.8,0,0,0,0,0,0,0,0,0,0
162,4365,ООО СК «БКС Страхование жизни»,Москва,1272242.15899,0,1272242.15899,1272242.15899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,4133,ООО СК ЭчДиАй Глобал,Москва,541974504.23957,0,0,0,0,0,541974504.23957,5267163.05447,5267163.05447,0,0,0,536707341.1851,427341147.88276,0,0,0,0,223408214.92877,0,0,203932932.95399,0,52483599.29264,0,0,0,0,0,0,0,24041280.22108,28442319.07156,0,56882594.0097,0,0,0,0,0,0,0,0
164,0758,"ООО СМК ""АСТРА-МЕТАЛЛ""",Магнитогорск,19334854.14342,0,0,0,0,0,19334854.14342,19334854.14342,0,0,0,19334854.14342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,461200.06902,131687.96112,0,0,0,0,461200.06902,461200.06902,0,0,0,461200.06902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1457,"ООО СМК ""Урал-Рецепт М""",Екатеринбург,1961,300,0,0,0,0,1961,1961,0,0,0,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,3957,"ООО СМО ""Чулпан-Мед""",Альметьевск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,3245,"ООО СО ""ВЕРНА""",Краснодар,12797368.50322,0,0,0,0,0,12797368.50322,6843672.36911,4588721.43176,0,0,2254950.93735,5953696.13411,3408115.0432,413807.86337,0,0,0,20492.59638,25139.0784,0,2395477.97153,553197.53352,1502067.74239,31572.3,31572.3,0,0,0,1600,0,428591.65307,1040303.78932,0,0,1043513.34852,0,0,0,0,0,0,0
169,2397,"ООО СО ""Геополис""",Москва,1058153.92141,0,0,0,0,0,1058153.92141,10889,3190,0,0,7699,1047264.92141,939884.92141,293239.894,0,0,0,0,0,0,327795.54841,318849.479,107380,86500,86500,0,0,0,0,0,0,20880,0,0,0,0,0,0,0,0,0,0
170,1643,"ООО СПК ""Юнити Ре""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0397,"ООО Страховая Компания  ""Гелиос""",Москва,62829765.54563,0,0,0,0,0,60079765.54563,39148764.32509,30683652.88909,0,0,8465111.436,20931001.22054,14879999.41898,762484.9205,0,15000,0,2004336.99993,0,0,6609762.13684,5488415.36171,5713468.04678,2263575,2263575,0,0,2100,2000,35000,30760,3372533.04678,7500,0,337533.75478,0,0,0,2750000,2750000,0,0
